NUM.,TITULO,ARTISTA,GENERO
6543,AMOR POBRE,GLORITA CEDEÑO,NACIONAL
7640,ESTAR ENAMORADO,GOLPE A GOLPE,REGGAETON
4291,SENTIMIENTO ORIGINAL,GONDWANA,REGGAE
8181,QUIEN LO DIRIA,GONZALO HERMIDA,BALADA
1020,ESPERANZA,GONZALO MONCAYO,SAN JUANITO
4084,QUIEN PIENSA EN TI,GONZALO YANEZ,BALADA
8270,NO LE LLORO A CABRONES,GRACE GUILLEN,CORRIDO
833,VINO GRIEGO,GRECO,BALADA
8102,A MI NO,GREEICY,REGGAETON
7251,MAS FUERTE,GREEICY,POP
7300,YA PARA QUE,GREEICY,BALADA
7019,AMANTES,GREEICY & MIKE BAHIA,REGGAETON
8027,DESTINO,GREEICY FEAT NACHO,REGGAETON
5701,21 GUNS,GREEN DAY,ROCK
5555,AMERICAN IDIOT,GREEN DAY,ROCK
5959,BOULEVARD OF BROKEN DREAMS,GREEN DAY,ROCK
5922,LONGVIEW,GREEN DAY,ROCK
7245,LA REVANCHA,GRUPO 5,CUMBIA
7474,PARRANDA LA NEGRITA,GRUPO 5,CUMBIA
5061,DONDE ESTARAS,GRUPO AMANECER,FOLCLORICA
3735,PASO FINO,GRUPO BAGDAD,CUMBIA
3824,LADY LADY,GRUPO BRAVO,BALADA
5961,DE PUNTA A PUNTA,GRUPO CANEO,SALSA
5965,DIME,GRUPO CANEO,SALSA
5974,HE DECIDIDO PERDERTE,GRUPO CANEO,SALSA
4832,QUE VOY A HACER SIN TI,GRUPO CANEO,SALSA
5986,QUIEN PIENSA EN TI,GRUPO CANEO,SALSA
6415,SECRETOS,GRUPO CANEO,SALSA
3862,CUERPO A CUERPO,GRUPO CARIACO,SALSA
288,MIENTEME,GRUPO CICLON,CUMBIA
89,VIDA,GRUPO CICLON,CUMBIA
5304,ME ENAMORE DE TI Y QUE,GRUPO CINCO,CUMBIA
3949,UNA AVENTURA MAS,GRUPO CINCO,CUMBIA
7486,SENTIMIENTO DE CARTON,GRUPO DUELO,RANCHERA
7918,COMO UN AGUILA HERIDO,GRUPO EBEN EZER,VALLENATO
8312,AMOR POR INTERNET,GRUPO EXENXIA,BACHATA
8339,DIME PORQUE TE FUISTE,GRUPO EXENXIA,BACHATA
7552,ME EMBORRACHARE,GRUPO EXTRA,BACHATA
6897,SI SE FUE SE FUE,GRUPO FEMENINO SON KARIBE,CUMBIA
8112,CADA QUIEN,GRUPO FIRME FEAT MALUMA,RANCHERA
8393,UN X 100TO,GRUPO FRONTERA FEAT BAD BUNNY,EGIONAL MEXICAN
8228,EL AMOR DE SU VIDA,GRUPO FRONTERA FEAT GRUPO FIRME,BANDA
8372,OJITOS ROJOS,GRUPO FRONTERA FEAT KE PERSONAJES,CUMBIA
8337,DE LUNES A LUNES,GRUPO FRONTERA FEAT MANUEL TURIZO,CUMBIA
6003,ASI COMO SOY,GRUPO GALE,SALSA
5362,BESO A BESO,GRUPO GALE,SALSA
4460,COMO DUELE LLORAR,GRUPO GALE,SALSA
4468,EL AMOR DE MI VIDA,GRUPO GALE,SALSA
5980,MAS QUE AMOR,GRUPO GALE,SALSA
6037,PERDONAME,GRUPO GALE,SALSA
5985,POR SIEMPRE,GRUPO GALE,SALSA
5220,REGRESA PRONTO POR FAVOR,GRUPO GALE,SALSA
5007,CORAZON DE PIEDRA,GRUPO KALIENTE,SALSA
5371,COMO LA LLUVIA,GRUPO LA NOCHE,RANCHERA
5198,ME MIRAS Y TE MIRO,GRUPO MANIA,MERENGUE
7616,CHICA GOOD,GRUPO MIO,MERENGUE
4606,CON UNA LAGRIMA EN LA GARGANTA,GRUPO MIRAMAR,BALADA
4631,POBREZA FATAL,GRUPO MIRAMAR,BOLERO
4947,UNA LAGRIMA Y UN RECUERDO,GRUPO MIRAMAR,BALADA
30,PIENSA EN MI,GRUPO MOJADO,CUMBIA
3814,EL ARBOLITO,GRUPO NECTAR,CUMBIA
3836,PECADORA,GRUPO NECTAR,CUMBIA
8006,ALGO QUE SE QUEDE,GRUPO NICHE,SALSA
8306,ALGO QUE SE QUEDE,GRUPO NICHE,SALSA
4803,ANA MILE,GRUPO NICHE,SALSA
3206,BUSCA POR DENTRO,GRUPO NICHE,SALSA
1764,CALI PACHANGUERO,GRUPO NICHE,SALSA
1183,CANOA RANCHA,GRUPO NICHE,SALSA
3209,COMO PODER DISIMULAR,GRUPO NICHE,SALSA
8119,COSAS BONITAS,GRUPO NICHE,SALSA
5963,DEL PUENTE PARA ALLA,GRUPO NICHE,SALSA
4814,ENTREGA,GRUPO NICHE,SALSA
4921,ERES,GRUPO NICHE,SALSA
4979,ES MEJOR NO DESPERTAR,GRUPO NICHE,SALSA
1705,GOTAS DE LLUVIA,GRUPO NICHE,SALSA
5720,HAGAMOS LO QUE DIGA EL CORAZON,GRUPO NICHE,SALSA
1776,LA MAGIA DE TUS BESOS,GRUPO NICHE,SALSA
6018,LA NEGRA NO QUIERE,GRUPO NICHE,SALSA
1379,LONDRES,GRUPO NICHE,SALSA
6028,MI PUEBLO NATAL,GRUPO NICHE,SALSA
2162,MISERABLE,GRUPO NICHE,SALSA
4680,NI COMO AMIGA NI COMO AMANTE,GRUPO NICHE,SALSA
2170,NUESTRO SUEÑO,GRUPO NICHE,SALSA
4837,SE PARECIO TANTO A TI,GRUPO NICHE,SALSA
1704,SIN SENTIMIENTO,GRUPO NICHE,SALSA
1777,UNA AVENTURA,GRUPO NICHE,SALSA
6692,FUEGO DE DIOS,GRUPO ROJO,CRISTIANA
6256,GRACIAS,GRUPO ROJO,CRISTIANA
6720,JARDIN DE ROSAS,GRUPO ROJO,CRISTIANA
6299,LE VOY A CRISTO,GRUPO ROJO,CRISTIANA
6818,NO ME SOLTARAS,GRUPO ROJO,CRISTIANA
6908,SOLO TU,GRUPO ROJO,CRISTIANA
6951,TU AMOR HACE ECO EN TODO MI UNIVERSO,GRUPO ROJO,CRISTIANA
6483,VIVE EN MI,GRUPO ROJO,CRISTIANA
7871,PORQUE YO,GRUPO SOMBRAS,CUMBIA
6108,ADIOS SELENA,GRUPO ZARCO,BALADA
3995,LADRON DE TU AMOR,GUALBERTO IBARRETO,BOLERO
8301,1537,GUARDARRAYA,OCK ALTERNATIV
8324,CHUCHAQUI,GUARDARRAYA,OCK ALTERNATIV
8357,HABLEME MAS SUAVE,GUARDARRAYA,OCK ALTERNATIV
8364,LERO LERO,GUARDARRAYA,OCK ALTERNATIV
8374,PAYASO ANDRES,GUARDARRAYA,OCK ALTERNATIV
4455,AMOR SE ESCRIBE CON LLANTO,GUARDIANES DEL AMOR,CUMBIA
4806,CARRO DE FUEGO,GUAYACAN,SALSA
3469,CUANDO HABLAN LAS MIRADAS,GUAYACAN,SALSA
5172,EL MAS RICO BESO,GUAYACAN,SALSA
5573,EXTRAÑO TU AMOR,GUAYACAN,SALSA
4216,INVIERNO EN PRIMAVERA,GUAYACAN,SALSA
5035,MUJER DE CARNE Y HUESO,GUAYACAN,SALSA
4579,OIGA MIRE VEA,GUAYACAN,SALSA
4893,TE AMO TE EXTRAÑO,GUAYACAN,SALSA
5000,TORERO,GUAYACAN,SALSA
4946,UN VESTIDO BONITO,GUAYACAN,SALSA
2100,TESORO MIO,GUILLERMO D. & KIARA,BALADA
798,BARCO A LA DERIVA,GUILLERMO DAVILA,BALADA
6573,CADA COSA EN SU LUGAR,GUILLERMO DAVILA,BALADA
1232,CUANDO SE ACABA EL AMOR,GUILLERMO DAVILA,BALADA
6187,DEJATE AMAR,GUILLERMO DAVILA,BALADA
1418,ENAMORANDOME MAS DE TI,GUILLERMO DAVILA,BALADA
4418,ES CUESTION DE TIEMPO,GUILLERMO DAVILA,BALADA
7734,LLEVO PERFUME A TI,GUILLERMO DAVILA,BALADA
7665,ME RETASTE A QUERERTE,GUILLERMO DAVILA,BALADA
1564,POR AMARTE TANTO,GUILLERMO DAVILA,BALADA
2687,SIN PENSARLO DOS VECES,GUILLERMO DAVILA,BALADA
294,SOLO PIENSO EN TI,GUILLERMO DAVILA,BALADA
3443,TODA LA LUZ,GUILLERMO DAVILA,BALADA
7192,TU MEJOR AMIGO,GUILLERMO DAVILA,BALADA
6496,YO NECESITO MAS DE TI,GUILLERMO DAVILA,BALADA
1916,DON'T CRY,GUN'S AND ROSES,ROCK
4925,KNOCKIN ON HEAVEN ́S DOOR,GUN'S AND ROSES,ROCK
2641,NOVEMBER RAIN,GUN'S AND ROSES,ROCK
2738,PATIENCE,GUN'S AND ROSES,ROCK
2790,SWEET CHILD OF MINE,GUN'S AND ROSES,ROCK
5253,ADIOS,GUSTAVO CERATI,ROCK
5761,CRIMEN,GUSTAVO CERATI,BALADA
6395,PUENTE,GUSTAVO CERATI,ROCK
